id,description,address,type,total_likes,created_at,updated_at,deleted_at
C-0f1e2d3c4b,Transportasi umum di sore hari sangat padat,Jalan Ramai No. 20,public,0,2024-06-07 16:10:00.000,2024-06-10 18:30:00.000,
C-123j9ak280,"Saya ingin melaporkan masalah pencemaran lingkungan yang serius di sekitar kawasan industri di Kota Cilegon. Pabrik-pabrik di sekitar Jalan Raya Merak terus melakukan pembuangan limbah secara ilegal ke sungai yang mengakibatkan sungai tersebut tercemar berat. Air sungai yang sudah tercemar ini sangat berbahaya bagi lingkungan sekitar dan juga kesehatan masyarakat yang menggunakan air dari sungai tersebut. Selain itu, kebisingan dan polusi udara dari aktivitas industri juga telah menciptakan lingkungan yang tidak sehat bagi penduduk sekitar. Saya berharap pemerintah setempat segera mengambil tindakan tegas untuk mengendalikan pembuangan limbah industri, memulihkan kondisi sungai, serta meningkatkan pengawasan terhadap kegiatan industri agar lingkungan Kota Cilegon bisa menjadi lebih bersih dan sehat.","Jl. Letnan Jenderal Suprapto No. 78, Kelurahan Cibeber, Kecamatan Cilegon, Kota Cilegon, Provinsi Banten, 42441",public,1,2024-06-20 16:47:20.021,2024-06-20 12:24:58.012,
C-1947d78044,kebakaran di lingkungan padat penduduk,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",public,0,2024-06-21 07:24:33.970,2024-06-21 07:24:33.970,
C-1a2b3c4d5e,Pendidikan anak-anak di daerah ini perlu ditingkatkan,Jalan Sekolah Barat No. 3,public,0,2024-06-05 09:00:00.000,2024-06-06 11:20:00.000,
C-1q2w3e4r5t,Sistem pendidikan butuh evaluasi mendalam,Jalan Guru Baru No. 13,public,0,2024-06-11 15:30:00.000,2024-06-14 16:45:00.000,
C-271j9ak280,"Saya ingin melaporkan kondisi keamanan yang memprihatinkan di beberapa wilayah di Kota Tangerang. Belakangan ini, sering terjadi tindak kejahatan seperti pencurian dan perampokan di sekitar Jalan Pahlawan dan sekitarnya. Lampu penerangan jalan yang kurang memadai menjadi salah satu faktor yang mempermudah pelaku kejahatan beraksi pada malam hari. Selain itu, kepolisian setempat terkesan lamban dalam merespons laporan kejahatan dari masyarakat, sehingga membuat warga merasa tidak aman. Saya berharap pihak berwenang dapat meningkatkan patroli keamanan, memperbaiki penerangan jalan, dan meningkatkan respon terhadap laporan kejahatan untuk meningkatkan keamanan dan ketertiban di Kota Tangerang.","Jl. Gatot Subroto No. 234, Kelurahan Karawaci, Kecamatan Karawaci, Kota Tangerang, Provinsi Banten, 15810",public,2,2024-06-20 16:47:20.021,2024-06-20 12:25:00.954,
C-2a3b4c5d6e,Pembangunan jalan baru diperlukan untuk mengurai kemacetan,Jalan Megah Jaya No. 4,private,6,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
C-2dd95e75d8,halo min daerah kami ada kebakaran hebat tolong untuk pihak terkait segera mendata korban serta rumah-rumah yang terbakar dikarenakan lokasi yang berada di padat penduduk,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",public,0,2024-06-20 12:50:48.256,2024-06-20 15:13:23.975,
C-3hjklmnbvc,Lingkungan kami sering terganggu oleh sampah plastik. Baunya tidak sedap dan mencemari lingkungan.,Jalan Hijau Indah No. 18,public,1,2024-06-04 16:00:00.000,2024-06-05 17:05:00.000,
C-4321f0e1d2c,Kualitas pendidikan di sekolah kami perlu diperbaiki. Guru-gurunya kurang kompeten.,Jalan Pendidikan No. 10,private,0,2024-06-18 08:15:00.000,2024-06-19 09:20:00.000,
